Name,Symbol,Sector,Exchange,Country
"Aditxt, Inc.",ADTX,Healthcare,NCM,United States
Addus HomeCare Corporation,ADUS,Healthcare,NMS,United States
Advantage Solutions Inc.,ADV,Communication Services,NMS,United States
"Adverum Biotechnologies, Inc.",ADVM,Healthcare,NCM,United States
Advantage Solutions Inc.,ADVWW,Communication Services,NMS,United States
Addex Therapeutics Ltd,ADXN,Healthcare,NCM,Switzerland
AltEnergy Acquisition Corp.,AEAE,Financial Services,NCM,United States
AltEnergy Acquisition Corp.,AEAEU,Financial Services,NCM,United States
AltEnergy Acquisition Corp.,AEAEW,Financial Services,NCM,United States
Antelope Enterprise Holdings Limited,AEHL,Industrials,NCM,United States
"Aehr Test Systems, Inc.",AEHR,Technology,NCM,United States
Alset Inc.,AEI,Real Estate,NCM,United States
"Advanced Energy Industries, Inc.",AEIS,Industrials,NMS,United States
"Aethlon Medical, Inc.",AEMD,Healthcare,NCM,United States
Alliance Entertainment Holding Corporation,AENT,Communication Services,NCM,United States
Alliance Entertainment Holding Corporation,AENTW,Communication Services,PNK,United States
"American Electric Power Company, Inc.",AEP,Utilities,NMS,United States
"Aeries Technology, Inc",AERT,Industrials,NCM,United States
"Aeries Technology, Inc",AERTW,Industrials,NCM,United States
"AudioEye, Inc.",AEYE,Technology,NCM,United States
"Affinity Bancshares, Inc.",AFBI,Financial Services,NCM,United States
"AFC Gamma, Inc.",AFCG,Real Estate,NGM,United States
"Aimei Health Technology Co., Ltd",AFJK,Financial Services,NGM,United States
"Aimei Health Technology Co., Ltd",AFJKR,,NGM,United States
"Aimei Health Technology Co., Ltd",AFJKU,Financial Services,NGM,United States
Affimed N.V.,AFMD,Healthcare,NGM,Germany
Forafric Global PLC,AFRI,Consumer Defensive,NCM,Gibraltar
Forafric Global PLC,AFRIW,Consumer Defensive,NCM,Gibraltar
"Affirm Holdings, Inc.",AFRM,Technology,NMS,United States
Afya Limited,AFYA,Consumer Defensive,NMS,Brazil
Allied Gaming & Entertainment Inc.,AGAE,Communication Services,NCM,United States
AGBA Group Holding Limited,AGBA,Financial Services,NCM,Hong Kong
AGBA Group Holding Limited,AGBAW,Financial Services,NCM,Hong Kong
Agenus Inc.,AGEN,Healthcare,NCM,United States
Agrify Corporation,AGFY,Industrials,NCM,United States
"Agios Pharmaceuticals, Inc.",AGIO,Healthcare,NMS,United States
KraneShares Artificial Intelligence and Technology ETF,AGIX,,NGM,
AGM Group Holdings Inc.,AGMH,Technology,NCM,Hong Kong
Themes Silver Miners ETF,AGMI,,NGM,
AGNC Investment Corp.,AGNC,Real Estate,NMS,United States
AGNC Investment Corp.,AGNCL,Real Estate,NMS,United States
AGNC Investment Corp.,AGNCM,Real Estate,NMS,United States
AGNC Investment Corp.,AGNCN,Real Estate,NMS,United States
AGNC Investment Corp.,AGNCO,Real Estate,NMS,United States
AGNC Investment Corp.,AGNCP,Real Estate,NMS,United States
Global X Aging Population ETF,AGNG,,NGM,
AgriFORCE Growing Systems Ltd.,AGRI,Consumer Defensive,NCM,Canada
"Agilysys, Inc.",AGYS,Technology,NMS,United States
WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,AGZD,,NGM,
AdaptHealth Corp.,AHCO,Healthcare,NCM,United States
Akso Health Group,AHG,Healthcare,NCM,China
iShares Asia 50 ETF,AIA,,NGM,
"Thunder Power Holdings, Inc.",AIEV,Consumer Cyclical,NGM,Hong Kong
"Firefly Neuroscience, Inc.",AIFF,Technology,NCM,Canada
Senmiao Technology Limited,AIHS,Financial Services,NCM,China
"iLearningEngines, Inc.",AILE,Technology,NCM,United States
"iLearningEngines, Inc.",AILEW,Technology,NCM,United States
Aimfinity Investment Corp. I,AIMAU,Financial Services,NGM,United States
Aimfinity Investment Corp. I,AIMAW,Financial Services,NGM,United States
Aimfinity Investment Corp. I,AIMBU,Financial Services,NGM,United States
"Ainos, Inc.",AIMD,Healthcare,NCM,United States
"Ainos, Inc.",AIMDW,Healthcare,NCM,United States
"PowerFleet, Inc.",AIOT,Technology,NGM,United States
"Arteris, Inc.",AIP,Technology,NGM,United States
REX AI Equity Premium Income ETF,AIPI,,NGM,
Global X Artificial Intelligence & Technology ETF,AIQ,,NGM,
reAlpha Tech Corp.,AIRE,Real Estate,NCM,United States
"Airgain, Inc.",AIRG,Technology,NCM,United States
Montana Technologies Corporation,AIRJ,Industrials,NCM,United States
Montana Technologies Corporation,AIRJW,Industrials,NCM,United States
Themes Airlines ETF,AIRL,,NGM,
First Trust RBA American Industrial RenaissanceTM ETF,AIRR,,NGM,
"AirSculpt Technologies, Inc.",AIRS,Healthcare,NGM,United States
"Air T, Inc.",AIRT,Industrials,NCM,United States
"Air T, Inc.",AIRTP,Industrials,NGM,United States
"Airship AI Holdings, Inc.",AISP,Technology,NGM,United States
"Airship AI Holdings, Inc.",AISPW,Technology,NCM,United States
AI Transportation Acquisition Corp,AITR,Financial Services,NCM,United States
AI Transportation Acquisition Corp,AITRR,,NCM,United States
AI Transportation Acquisition Corp,AITRU,Financial Services,NCM,United States
Xiao-I Corporation,AIXI,Technology,NGM,China
"Akamai Technologies, Inc.",AKAM,Technology,NMS,United States
Akanda Corp.,AKAN,Healthcare,NCM,United Kingdom
"Akebia Therapeutics, Inc.",AKBA,Healthcare,NCM,United States
"Akero Therapeutics, Inc.",AKRO,Healthcare,NMS,United States
"Akoustis Technologies, Inc.",AKTS,Technology,NCM,United States
"Akari Therapeutics, Plc",AKTX,Healthcare,NCM,United States
"Akoya Biosciences, Inc.",AKYA,Healthcare,NMS,United States
"Astera Labs, Inc.",ALAB,Technology,NMS,United States
Alarum Technologies Ltd.,ALAR,Technology,NCM,Israel
Avalon GloboCare Corp.,ALBT,Real Estate,NCM,United States
Alternus Clean Energy Inc,ALCE,Utilities,NCM,Ireland
"Alico, Inc.",ALCO,Consumer Defensive,NMS,United States
Alchemy Investments Acquisition Corp 1,ALCY,Financial Services,NGM,United States
Alchemy Investments Acquisition Corp 1,ALCYU,Financial Services,NGM,United States
Alchemy Investments Acquisition Corp 1,ALCYW,,NGM,
"Aldeyra Therapeutics, Inc.",ALDX,Healthcare,NCM,United States
"Alector, Inc.",ALEC,Healthcare,NMS,United States
Centurion Acquisition Corp.,ALF,,NGM,
Centurion Acquisition Corp.,ALFUU,,NGM,
Centurion Acquisition Corp.,ALFUW,,NGM,
"Allegro MicroSystems, Inc.",ALGM,Technology,NMS,United States
"Align Technology, Inc.",ALGN,Healthcare,NMS,United States
"Aligos Therapeutics, Inc.",ALGS,Healthcare,NCM,United States
Allegiant Travel Company,ALGT,Industrials,NMS,United States
"Alignment Healthcare, Inc.",ALHC,Healthcare,NMS,United States
"Alimera Sciences, Inc.",ALIM,Healthcare,NGM,United States
Alkermes plc,ALKS,Healthcare,NMS,Ireland
"Alkami Technology, Inc.",ALKT,Technology,NMS,United States
Allakos Inc.,ALLK,Healthcare,NMS,United States
"Allogene Therapeutics, Inc.",ALLO,Healthcare,NMS,United States
"Allarity Therapeutics, Inc.",ALLR,Healthcare,NCM,United States
Allot Ltd.,ALLT,Technology,NMS,Israel
Alumis Inc.,ALMS,Healthcare,NMS,United States
Allient Inc.,ALNT,Technology,NGM,United States
"Alnylam Pharmaceuticals, Inc.",ALNY,Healthcare,NMS,United States
"AstroNova, Inc.",ALOT,Technology,NGM,United States
"Alpine 4 Holdings, Inc.",ALPP,Industrials,NCM,United States
"Alarm.com Holdings, Inc.",ALRM,Technology,NMS,United States
"Aileron Therapeutics, Inc.",ALRN,Healthcare,NCM,United States
Alerus Financial Corporation,ALRS,Financial Services,NCM,United States
Alpha Star Acquisition Corporation,ALSA,Financial Services,NGM,United States
Alpha Star Acquisition Corporation,ALSAR,,NGM,United States
Alpha Star Acquisition Corporation,ALSAU,Financial Services,NGM,United States
Alpha Star Acquisition Corporation,ALSAW,Financial Services,NGM,United States
"Altimmune, Inc.",ALT,Healthcare,NGM,United States
"AlTi Global, Inc.",ALTI,Financial Services,NCM,United States
"Alto Ingredients, Inc.",ALTO,Basic Materials,NCM,United States
Altair Engineering Inc.,ALTR,Technology,NMS,United States
ALT5 Sigma Corporation,ALTS,Technology,NCM,United States
Global X Alternative Income ETF,ALTY,,NGM,
Alvotech,ALVO,Healthcare,NGM,Luxembourg
Alvotech,ALVOW,Healthcare,NGM,Luxembourg
"AlloVir, Inc.",ALVR,Healthcare,NCM,United States
ALX Oncology Holdings Inc.,ALXO,Healthcare,NMS,United States
"Alzamend Neuro, Inc.",ALZN,Healthcare,NCM,United States
Amalgamated Financial Corp.,AMAL,Financial Services,NGM,United States
"Applied Materials, Inc.",AMAT,Technology,NMS,United States
"Ambarella, Inc.",AMBA,Technology,NMS,United States
AMC Networks Inc.,AMCX,Communication Services,NMS,United States
"Advanced Micro Devices, Inc.",AMD,Technology,NMS,United States
GraniteShares 2x Long AMD Daily ETF,AMDL,,NGM,
Graniteshares 1x Short AMD Daily ETF,AMDS,,NGM,
"Amedisys, Inc.",AMED,Healthcare,NMS,United States
Amgen Inc.,AMGN,Healthcare,NMS,United States
Argent Mid Cap ETF,AMID,,NGM,
"Autonomix Medical, Inc.",AMIX,Healthcare,NCM,United States
"Amkor Technology, Inc.",AMKR,Technology,NMS,United States
American Lithium Corp.,AMLI,Basic Materials,NCM,Canada
"Amylyx Pharmaceuticals, Inc.",AMLX,Healthcare,NMS,United States
"AmpliTech Group, Inc.",AMPG,Technology,NCM,United States
"AmpliTech Group, Inc.",AMPGW,Technology,NCM,United States
"Amphastar Pharmaceuticals, Inc.",AMPH,Healthcare,NMS,United States
"Amplitude, Inc.",AMPL,Technology,NCM,United States
"A-Mark Precious Metals, Inc.",AMRK,Financial Services,NMS,United States
Amarin Corporation plc,AMRN,Healthcare,NGM,Ireland
"Amneal Pharmaceuticals, Inc.",AMRX,Healthcare,NMS,United States
American Superconductor Corporation,AMSC,Industrials,NMS,United States
"AMERISAFE, Inc.",AMSF,Financial Services,NMS,United States
Amesite Inc.,AMST,Technology,NCM,United States
"American Software, Inc.",AMSWA,Technology,NMS,United States
"Aemetis, Inc.",AMTX,Energy,NGM,United States
American Woodmark Corporation,AMWD,Consumer Cyclical,NMS,United States
Direxion Daily AMZN Bear 1X Shares,AMZD,,NGM,
"Amazon.com, Inc.",AMZN,Consumer Cyclical,NMS,United States
Direxion Daily AMZN Bull 2X Shares,AMZU,,NGM,
GraniteShares 2x Long AMZN Daily ETF,AMZZ,,NGM,
"AnaptysBio, Inc.",ANAB,Healthcare,NMS,United States
"The Andersons, Inc.",ANDE,Consumer Defensive,NMS,United States
"Anebulo Pharmaceuticals, Inc.",ANEB,Healthcare,NCM,United States
Anghami Inc.,ANGH,Communication Services,NGM,United Arab Emirates
Anghami Inc.,ANGHW,Communication Services,NCM,United Arab Emirates
Angi Inc.,ANGI,Communication Services,NMS,United States
VanEck Fallen Angel High Yield Bond ETF,ANGL,,NGM,
"AngioDynamics, Inc.",ANGO,Healthcare,NMS,United States
"Anika Therapeutics, Inc.",ANIK,Healthcare,NMS,United States
"ANI Pharmaceuticals, Inc.",ANIP,Healthcare,NGM,United States
"Anixa Biosciences, Inc.",ANIX,Healthcare,NCM,United States
Adlai Nortye Ltd.,ANL,Healthcare,NGM,Cayman Islands
"Annexon, Inc.",ANNX,Healthcare,NMS,United States
Agriculture & Natural Solutions Acquisition Corporation,ANSC,Financial Services,NGM,United States
Agriculture & Natural Solutions Acquisition Corporation,ANSCU,Financial Services,NGM,United States
Agriculture & Natural Solutions Acquisition Corporation,ANSCW,Financial Services,NGM,United States
"ANSYS, Inc.",ANSS,Technology,NMS,United States
AirNet Technology Inc.,ANTE,Communication Services,NCM,China
"AN2 Therapeutics, Inc.",ANTX,Healthcare,NMS,United States
Sphere 3D Corp.,ANY,Financial Services,NCM,United States
Arogo Capital Acquisition Corp.,AOGO,Financial Services,NGM,United States
Arogo Capital Acquisition Corp.,AOGOU,Financial Services,NGM,United States
Arogo Capital Acquisition Corp.,AOGOW,Financial Services,NGM,United States
Alpha and Omega Semiconductor Limited,AOSL,Technology,NMS,United States
AOT Growth and Innovation ETF,AOTG,,NGM,
"American Outdoor Brands, Inc.",AOUT,Consumer Cyclical,NMS,United States
APA Corporation,APA,Energy,NMS,United States
AppTech Payments Corp.,APCX,Technology,NCM,United States
AppTech Payments Corp.,APCXW,Technology,NCM,United States
"Applied DNA Sciences, Inc.",APDN,Healthcare,NCM,United States
"American Public Education, Inc.",APEI,Consumer Defensive,NMS,United States
"Apogee Therapeutics, Inc.",APGE,Healthcare,NGM,United States
"Agora, Inc.",API,Technology,NMS,United States
Applied Digital Corporation,APLD,Technology,NMS,United States
"Apollomics, Inc.",APLM,Healthcare,NCM,United States
"Apollomics, Inc.",APLMW,,NCM,
"Apellis Pharmaceuticals, Inc.",APLS,Healthcare,NMS,United States
"Applied Therapeutics, Inc.",APLT,Healthcare,NGM,United States
Aptorum Group Limited,APM,Healthcare,NCM,United Kingdom
"Apogee Enterprises, Inc.",APOG,Industrials,NMS,United States
AppLovin Corporation,APP,Technology,NMS,United States
"AppFolio, Inc.",APPF,Technology,NGM,United States
Appian Corporation,APPN,Technology,NGM,United States
"Digital Turbine, Inc.",APPS,Technology,NCM,United States
"Aprea Therapeutics, Inc.",APRE,Healthcare,NCM,United States
Aptose Biosciences Inc.,APTO,Healthcare,NCM,Canada
Aptevo Therapeutics Inc.,APVO,Healthcare,NCM,United States
Asia Pacific Wire & Cable Corporation Limited,APWC,Industrials,NCM,Taiwan
APx Acquisition Corp. I,APXI,Financial Services,NGM,Mexico
APx Acquisition Corp. I,APXIU,Financial Services,NGM,Mexico
APx Acquisition Corp. I,APXIW,Financial Services,NGM,Mexico
Apyx Medical Corporation,APYX,Healthcare,NMS,United States
"AquaBounty Technologies, Inc.",AQB,Consumer Defensive,NCM,United States
"Aqua Metals, Inc.",AQMS,Industrials,NCM,United States
"Aquestive Therapeutics, Inc.",AQST,Healthcare,NGM,United States
Aquaron Acquisition Corp.,AQU,Financial Services,NCM,United States
Aquaron Acquisition Corp.,AQUNR,,NCM,United States
Aquaron Acquisition Corp.,AQUNU,Financial Services,NCM,United States
Global X Clean Water ETF,AQWA,,NGM,
Accuray Incorporated,ARAY,Healthcare,NMS,United States
ARB IOT Group Limited,ARBB,Technology,NCM,Malaysia
Arbe Robotics Ltd.,ARBE,Technology,NCM,Israel
Arbe Robotics Ltd.,ARBEW,Technology,NCM,Israel
Argo Blockchain plc,ARBK,Financial Services,NMS,United Kingdom
Argo Blockchain plc 8.75% Senior Notes due 2026,ARBKL,,NGM,
ArcBest Corporation,ARCB,Industrials,NMS,United States
Ares Capital Corporation,ARCC,Financial Services,NMS,United States
Arcturus Therapeutics Holdings Inc.,ARCT,Healthcare,NGM,United States
"Ardelyx, Inc.",ARDX,Healthcare,NGM,United States
"American Rebel Holdings, Inc.",AREB,Consumer Cyclical,NCM,United States
"American Rebel Holdings, Inc.",AREBW,,NCM,
American Resources Corporation,AREC,Basic Materials,NCM,United States
argenx SE,ARGX,Healthcare,NMS,Netherlands
"Arhaus, Inc.",ARHS,Consumer Cyclical,NMS,United States
Arko Corp.,ARKO,Consumer Cyclical,NCM,United States
Arko Corp.,ARKOW,Consumer Cyclical,NCM,United States
Ark Restaurants Corp.,ARKR,Consumer Cyclical,NGM,United States
"Alliance Resource Partners, L.P.",ARLP,Energy,NMS,United States
Arm Holdings plc,ARM,Technology,NMS,United Kingdom
Arrow Financial Corporation,AROW,Financial Services,NMS,United States
"Arq, Inc.",ARQ,Industrials,NGM,United States
Arqit Quantum Inc.,ARQQ,Technology,NCM,United Kingdom
Arqit Quantum Inc.,ARQQW,Technology,NCM,United Kingdom
"Arcutis Biotherapeutics, Inc.",ARQT,Healthcare,NMS,United States
"Array Technologies, Inc.",ARRY,Technology,NGM,United States
"Artelo Biosciences, Inc.",ARTL,Healthcare,NCM,United States
Artesian Resources Corporation,ARTNA,Utilities,NMS,United States
"Artiva Biotherapeutics, Inc.",ARTV,Healthcare,NGM,United States
"Art's-Way Manufacturing Co., Inc.",ARTW,Industrials,NCM,United States
"Arvinas, Inc.",ARVN,Healthcare,NMS,United States
First Trust Indxx Metaverse ETF,ARVR,,NGM,
"Arrowhead Pharmaceuticals, Inc.",ARWR,Healthcare,NMS,United States
A SPAC II Acquisition Corp.,ASCB,Financial Services,NGM,Singapore
A SPAC II Acquisition Corp.,ASCBR,,NGM,Singapore
A SPAC II Acquisition Corp.,ASCBU,Financial Services,NGM,Singapore
A SPAC II Acquisition Corp.,ASCBW,Financial Services,NGM,Singapore
FlexShares Real Assets Allocation Index Fund,ASET,,NGM,
AerSale Corporation,ASLE,Industrials,NCM,United States
"Assembly Biosciences, Inc.",ASMB,Healthcare,NMS,United States
ASML Holding N.V.,ASML,Technology,NMS,Netherlands
Ascendis Pharma A/S,ASND,Healthcare,NMS,Denmark
"Actelis Networks, Inc.",ASNS,Technology,NCM,United States
"Academy Sports and Outdoors, Inc.",ASO,Consumer Cyclical,NMS,United States
ASP Isotopes Inc.,ASPI,Basic Materials,NCM,United States
Altisource Portfolio Solutions S.A.,ASPS,Real Estate,NMS,Luxembourg
"Assertio Holdings, Inc.",ASRT,Healthcare,NCM,United States
"AmeriServ Financial, Inc.",ASRV,Financial Services,NGM,United States
Asset Entities Inc.,ASST,Communication Services,NCM,United States
Astrotech Corporation,ASTC,Industrials,NCM,United States
"Astec Industries, Inc.",ASTE,Industrials,NMS,United States
"Astrana Health, Inc.",ASTH,Healthcare,NCM,United States
"Ascent Solar Technologies, Inc.",ASTI,Technology,NCM,United States
Algoma Steel Group Inc.,ASTL,Basic Materials,NGM,Canada
Algoma Steel Group Inc.,ASTLW,Basic Materials,NGM,Canada
"AST SpaceMobile, Inc.",ASTS,Technology,NMS,United States
"AST SpaceMobile, Inc.",ASTSW,Technology,NMS,United States
"Asure Software, Inc.",ASUR,Technology,NCM,United States
"Amtech Systems, Inc.",ASYS,Technology,NMS,United States
Atai Life Sciences N.V.,ATAI,Healthcare,NGM,Germany
Atour Lifestyle Holdings Limited,ATAT,Consumer Cyclical,NMS,China
Atlas Corp.,ATCOL,,NGM,United Kingdom
"Alphatec Holdings, Inc.",ATEC,Healthcare,NMS,United States
"Aterian, Inc.",ATER,Consumer Cyclical,NCM,United States
Anterix Inc.,ATEX,Communication Services,NCM,United States
Alpha Technology Group Limited,ATGL,Technology,NCM,Hong Kong
"Athira Pharma, Inc.",ATHA,Healthcare,NMS,United States
Alterity Therapeutics Limited,ATHE,Healthcare,NCM,Australia
ATIF Holdings Limited,ATIF,Financial Services,NCM,United States
Atlanticus Holdings Corporation,ATLC,Financial Services,NMS,United States
Atlanticus Holdings Corporation 6.125% Senior Notes due 2026,ATLCL,,NGM,
Atlanticus Holdings Corporation,ATLCP,Financial Services,NMS,United States
Atlanticus Holdings Corporation 9.25% Senior Notes due 2029,ATLCZ,,NGM,
Ames National Corporation,ATLO,Financial Services,NCM,United States
Atlas Lithium Corporation,ATLX,Basic Materials,NCM,Brazil
AlphaTime Acquisition Corp,ATMC,Financial Services,NGM,United States
AlphaTime Acquisition Corp,ATMCR,,NGM,United States
AlphaTime Acquisition Corp,ATMCU,Financial Services,NGM,United States
AlphaTime Acquisition Corp,ATMCW,Financial Services,NGM,United States
AlphaVest Acquisition Corp,ATMV,Financial Services,NGM,United States
AlphaVest Acquisition Corp,ATMVR,,NGM,United States
AlphaVest Acquisition Corp,ATMVU,Financial Services,NGM,United States
180 Life Sciences Corp.,ATNF,Healthcare,NCM,United States
180 Life Sciences Corp.,ATNFW,Healthcare,NCM,United States
"ATN International, Inc.",ATNI,Communication Services,NMS,United States
Atomera Incorporated,ATOM,Technology,NCM,United States
"Atossa Therapeutics, Inc.",ATOS,Healthcare,NCM,United States
Agape ATP Corporation,ATPC,Consumer Defensive,NCM,Malaysia
"Atara Biotherapeutics, Inc.",ATRA,Healthcare,NMS,United States
"AtriCure, Inc.",ATRC,Healthcare,NGM,United States
Astronics Corporation,ATRO,Industrials,NMS,United States
"Air Transport Services Group, Inc.",ATSG,Industrials,NMS,United States
Addentax Group Corp.,ATXG,Industrials,NCM,China
"Avenue Therapeutics, Inc.",ATXI,Healthcare,NCM,United States
"Astria Therapeutics, Inc.",ATXS,Healthcare,NGM,United States
"aTyr Pharma, Inc.",ATYR,Healthcare,NCM,United States
"Auburn National Bancorporation, Inc.",AUBN,Financial Services,NGM,United States
AudioCodes Ltd.,AUDC,Technology,NMS,Israel
"Augmedix, Inc.",AUGX,Healthcare,NCM,United States
authID Inc.,AUID,Technology,NCM,United States
Themes Gold Miners ETF,AUMI,,NGM,
Aurinia Pharmaceuticals Inc.,AUPH,Healthcare,NGM,Canada
"Aurora Innovation, Inc.",AUR,Technology,NMS,United States
"Aura Biosciences, Inc.",AURA,Healthcare,NGM,United States
"Aurora Innovation, Inc.",AUROW,Technology,NMS,United States
Autolus Therapeutics plc,AUTL,Healthcare,NMS,United Kingdom
Auddia Inc.,AUUD,Technology,NCM,United States
Auddia Inc.,AUUDW,Technology,NCM,United States
Aveanna Healthcare Holdings Inc.,AVAH,Healthcare,NMS,United States
"AeroVironment, Inc.",AVAV,Industrials,NMS,United States
"ArriVent BioPharma, Inc.",AVBP,Healthcare,NGM,United States
Avadel Pharmaceuticals plc,AVDL,Healthcare,NGM,Ireland
"AvidXchange Holdings, Inc.",AVDX,Technology,NMS,United States
Broadcom Inc.,AVGO,Technology,NMS,United States
"Avinger, Inc.",AVGR,Healthcare,NCM,United States
Defiance Daily Target 2X Long AVGO ETF,AVGX,,NGM,
"Atea Pharmaceuticals, Inc.",AVIR,Healthcare,NMS,United States
"Aviat Networks, Inc.",AVNW,Technology,NMS,United States
"Mission Produce, Inc.",AVO,Consumer Defensive,NMS,United States
"AvePoint, Inc.",AVPT,Technology,NMS,United States
"AvePoint, Inc.",AVPTW,Technology,NMS,United States
"Avnet, Inc.",AVT,Technology,NMS,United States
"Aerovate Therapeutics, Inc.",AVTE,Healthcare,NGM,United States
"Avalo Therapeutics, Inc.",AVTX,Healthcare,NCM,United States
American Century ETF Trust - Avantis Emerging Markets ex-China Equity ETF,AVXC,,NGM,
Anavex Life Sciences Corp.,AVXL,Healthcare,NMS,United States
